ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083773357,skoda,100,Mielec,Podkarpackie,42,988,30000,PLN,Polska,False,False,True,,,,C1 (1968-1976),1976,1976-01-01 00:00:00,102200,Osoby prywatnej,,Benzyna,,Sedan,Żółty,Używane,,Na tylne koła,Manualna,2021-04-08 19:14:00,https://www.otomoto.pl/oferta/skoda-100-skoda-s-100-ID6DITmJ.html#c3f1798d3a
6084025960,skoda,105,Suwałki,Podlaskie,50,1100,11000,PLN,,False,False,True,,,,,1981,1982-03-25 00:00:00,106922,Osoby prywatnej,,Benzyna,,Kompakt,Inny kolor,Używane,True,Na tylne koła,Manualna,2021-04-07 13:16:00,https://www.otomoto.pl/oferta/skoda-105-sprzedam-zadbana-i-w-pelni-sprawna-skoda-105-s-ID6DJX4Y.html#829570f804
6083932730,skoda,105,Lublin,Lubelskie,50,1050,5000,PLN,,False,,,,,,,1986,,68000,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,Na tylne koła,Manualna,2021-04-03 18:36:00,https://www.otomoto.pl/oferta/skoda-105-oryginal-dobra-baza-kompletna-w-pelni-sprawna-ID6DJyPg.html#829570f804
6083272716,skoda,130,Bielsko-Biała,Śląskie,61,1289,45000,PLN,,False,,,,,,,1988,,33391,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,,Manualna,2021-04-04 17:23:00,https://www.otomoto.pl/oferta/skoda-130-skoda-136-rapid-zabytek-130-135-120-ID6DGN7S.html#a035dab4fd
6083943396,skoda,citigo,Dąbrowa Górnicza,Śląskie,60,999,23900,PLN,Polska,False,False,,,True,,,2017,,140000,Osoby prywatnej,,Benzyna+LPG,,Auta małe,Czerwony,Używane,True,Na przednie koła,Manualna,2021-04-10 21:08:00,https://www.otomoto.pl/oferta/skoda-citigo-2-x-van-gaz-ciezarowy-serwis-aso-ID6DJBBi.html#d59383f5f7
6080273323,skoda,citigo,Lubań,Dolnośląskie,75,999,42750,PLN,Niemcy,False,False,,,True,,,2018,,7400,Osoby prywatnej,,Benzyna,,Auta małe,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-10 17:59:00,https://www.otomoto.pl/oferta/skoda-citigo-automatik-klima-alufelgi-serwisowany-ID6DucQz.html#d59383f5f7
6084113727,skoda,citigo,Wrocław,Dolnośląskie,60,999,22900,PLN,Polska,False,False,True,,,,,2013,,34600,Osoby prywatnej,,Benzyna,105,Auta małe,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-09 15:31:00,https://www.otomoto.pl/oferta/skoda-citigo-polski-salon-bezwypadkowy-jak-nowy-maly-przebieg-super-wyposazenie-ID6DKjUz.html#d59383f5f7
6083419049,skoda,citigo,Przemyśl,Podkarpackie,60,999,24900,PLN,,False,,,,,,,2017,,77320,Osoby prywatnej,,Benzyna+LPG,,Auta miejskie,Biały,Używane,,,Manualna,2021-04-08 15:55:00,https://www.otomoto.pl/oferta/skoda-citigo-skoda-citigo-ogloszenie-prywatne-ID6DHpc5.html#d59383f5f7
6080265469,skoda,citigo,Jelenia Góra,Dolnośląskie,60,999,26400,PLN,,False,,True,,,,,2016,,83800,Osoby prywatnej,,Benzyna,105,Auta małe,Biały,Używane,True,Na przednie koła,Manualna,2021-04-08 09:08:00,https://www.otomoto.pl/oferta/skoda-citigo-raty-bez-bik-i-krd-leasing-w-1-dzien-ID6DuaNT.html#d59383f5f7
6083898952,skoda,citigo,Łódź,Łódzkie,60,999,34000,PLN,Polska,False,False,,,True,,,2018,2018-03-13 00:00:00,33465,Firmy,True,Benzyna,,Auta małe,Szary,Używane,True,Na przednie koła,Manualna,2021-04-08 07:37:00,https://www.otomoto.pl/oferta/skoda-citigo-1-0-mpi-ambition-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DJq2s.html#d59383f5f7
